user,folder_name,remove_start_image,remove_end_image,비고,,,,
,2020-06-26-0,20200626070003_79.jpg,20200626115959_63,운항 중이 아님 (폴더 내 전체 이미지) & 레이더없음,,,,
,2020-06-26-1,20200626120103_21.jpg,20200626165959_18.jpg,레이더 없음 (폴더 내 전체 이미지),,,,
,2020-06-27-0,-,-,-,,,,
,2020-06-27-1,20200627140500_30.jpg,20200627143459_72.jpg,레이더 없음,,,,
,2020-06-27-1,20200627153500_59.jpg,20200627154459_81.jpg,레이더 없음,,,,
,2020-06-28-0,20200628070004_18.jpg,20200628115959_64.jpg,레이더 없음 (폴더 내 전체 이미지),,,,
,2020-06-28-1,20200628120103_50.jpg,20200628165959_57.jpg,레이더 없음 (폴더 내 전체 이미지),,,,
,2020-06-29-0,20200629070003_88.jpg,20200629072459_72.jpg,레이더 없음,,,,
,2020-06-29-0,20200629073219_98.jpg,20200629082459_30.jpg,레이더 없음 & 빗방울,,,,
,2020-06-29-0,20200629082500_29.jpg,20200629084800_35.jpg,빗방울,,,,
,2020-06-29-0,20200629085346_59.jpg,20200629091459_87.jpg,레이더 없음&비바람,,,,
,2020-06-29-1,20200629120103_46.jpg,20200629122204_96.jpg,빗방울,,,,
,2020-06-29-1,20200629135540_33.jpg,20200629140708_26.jpg,빗방울,,,,
,2020-06-29-1,20200629144834_47.jpg,20200629145328_06.jpg,빗방울,,,,
,2020-06-29-1,20200629154959_17.jpg,20200629155713_28.jpg,빗방울,,,,
,2020-06-30-0,20200630070004_01.jpg,20200630073459_59.jpg,흐린 이미지 & 다른 선박 존재,,,,
,2020-06-30-0,20200630073500_58.jpg,20200630115959_06.jpg,레이더 없음,,,,
,2020-06-30-1,20200630120102_17.jpg,20200630165959_19.jpg,레이더 없음,,,,
,2020-07-01-0,20200701070003_83.jpg,20200701115959_83.jpg,운행 아님&다른 선박 존재 & 레이더 없음,,,,
,2020-07-01-1,20200701120104_09.jpg,20200701120337_54.jpg,다른 선박 존재,,,,
,2020-07-01-1,20200701130719_33.jpg,20200701131248_35.jpg,다른 선박 존재,,,,
,2020-07-01-1,20200701133908_23.jpg,20200701134102_33.jpg,다른 선박 존재,,,,
,2020-07-02-0,20200702112500_22.jpg,20200702113459_28.jpg,레이더 없음,,,,
